starttime	seconds	ctime	dtime	ttime	wait
Fri Aug 02 14:53:49 2013	1375448029	0	2	2	2
Fri Aug 02 14:53:49 2013	1375448029	0	2	2	2
Fri Aug 02 14:53:49 2013	1375448029	0	2	2	2
Fri Aug 02 14:53:49 2013	1375448029	0	2	2	2
Fri Aug 02 14:53:49 2013	1375448029	0	2	2	2
Fri Aug 02 14:53:49 2013	1375448029	0	2	2	2
Fri Aug 02 14:53:49 2013	1375448029	0	2	2	2
Fri Aug 02 14:53:49 2013	1375448029	0	2	2	2
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	2
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	3	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	4	3
Fri Aug 02 14:53:49 2013	1375448029	0	3	4	3
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	4	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	5	4
Fri Aug 02 14:53:49 2013	1375448029	0	4	5	4
Fri Aug 02 14:53:49 2013	1375448029	0	5	5	4
Fri Aug 02 14:53:49 2013	1375448029	0	5	5	4
Fri Aug 02 14:53:49 2013	1375448029	0	5	5	4
Fri Aug 02 14:53:49 2013	1375448029	0	5	5	5
Fri Aug 02 14:53:49 2013	1375448029	0	5	5	5
Fri Aug 02 14:53:49 2013	1375448029	0	5	5	5
Fri Aug 02 14:53:49 2013	1375448029	0	5	5	5
Fri Aug 02 14:53:49 2013	1375448029	0	5	5	5
Fri Aug 02 14:53:49 2013	1375448029	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:49 2013	1375448029	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	5	5
Fri Aug 02 14:53:49 2013	1375448029	0	5	5	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	6	5
Fri Aug 02 14:53:49 2013	1375448029	0	5	6	5
Fri Aug 02 14:53:48 2013	1375448028	0	5	6	5
Fri Aug 02 14:53:49 2013	1375448029	0	5	6	5
Fri Aug 02 14:53:49 2013	1375448029	0	5	6	5
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	5
Fri Aug 02 14:53:49 2013	1375448029	0	6	6	5
Fri Aug 02 14:53:49 2013	1375448029	0	6	6	5
Fri Aug 02 14:53:49 2013	1375448029	0	6	6	6
Fri Aug 02 14:53:49 2013	1375448029	0	6	6	6
Fri Aug 02 14:53:49 2013	1375448029	0	6	6	6
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	6
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	6
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	6
Fri Aug 02 14:53:49 2013	1375448029	0	6	6	6
Fri Aug 02 14:53:49 2013	1375448029	0	6	6	6
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	6
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	6
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	6
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	6
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	6
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	6
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	6
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	6
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	6
Fri Aug 02 14:53:49 2013	1375448029	0	6	6	6
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	6
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	6
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	6
Fri Aug 02 14:53:48 2013	1375448028	0	6	6	6
